author,num_of_quotes
"Albert Einstein",25
"J.K. Rowling",12
"Jane Austen",15
"Marilyn Monroe",14
"Andr̩ Gide",2
"Thomas A. Edison",4
"Eleanor Roosevelt",4
"Steve Martin",3
"Bob Marley",3
"Dr. Seuss",11
"Douglas Adams",2
"Elie Wiesel",8
"Friedrich Nietzsche",6
"Mark Twain",14
"Allen Saunders",5
"Pablo Neruda",2
"Ralph Waldo Emerson",3
"Mother Teresa",3
"Garrison Keillor",2
"Jim Henson",1
"Charles M. Schulz",3
"William Nicholson",2
"Jorge Luis Borges",2
"George Eliot",1
"George R.R. Martin",6
"C.S. Lewis",13
"Martin Luther King Jr.",2
"James Baldwin",1
"Haruki Murakami",2
"Alexandre Dumas fils",1
"Stephenie Meyer",3
"Ernest Hemingway",5
"Helen Keller",1
"George Bernard Shaw",3
"Charles Bukowski",2
"Suzanne Collins",2
"J.R.R. Tolkien",6
"Alfred Tennyson",2
"Terry Pratchett",3
"J.D. Salinger",5
"George Carlin",6
"John Lennon",8
"W.C. Fields",2
"Ayn Rand",1
"Jimi Hendrix",2
"J.M. Barrie",2
"E.E. Cummings",1
"Khaled Hosseini",1
"Harper Lee",1
"Madeleine L'Engle",7
